CountryCode,SeriesCode,Year,DESCRIPTION
"ABW","IT.NET.USER.ZS","YR1990","Source: Servicio di Telecomunicacion di Aruba (SETAR)."
"ABW","IT.NET.USER.ZS","YR1996","Source: Servicio di Telecomunicacion di Aruba (SETAR)."
"ABW","IT.NET.USER.ZS","YR1999","Source: Servicio di Telecomunicacion di Aruba (SETAR)."
"ABW","IT.NET.USER.ZS","YR2000","Source: Servicio di Telecomunicacion di Aruba (SETAR)."
"ABW","IT.NET.USER.ZS","YR2001","Source: ITU estimate."
"ABW","IT.NET.USER.ZS","YR2002","Source: ITU estimate."
"ABW","IT.NET.USER.ZS","YR2003","Source: ITU estimate."
"ABW","IT.NET.USER.ZS","YR2004","Source: ITU estimate."
"ABW","IT.NET.USER.ZS","YR2005","Source: ITU estimate."
"ABW","IT.NET.USER.ZS","YR2006","Source: ITU estimate."
"ABW","IT.NET.USER.ZS","YR2007","Source: ITU estimate."
"ABW","IT.NET.USER.ZS","YR2008","Source: ITU estimate."
"ABW","IT.NET.USER.ZS","YR2009","Source: ITU estimate."
"ABW","IT.NET.USER.ZS","YR2010","Source: ITU estimate."
"ABW","IT.NET.USER.ZS","YR2011","Source: ITU estimate."
"ABW","IT.NET.USER.ZS","YR2012","Source: ITU estimate."
"ABW","IT.NET.USER.ZS","YR2013","Source: ITU estimate."
"ABW","IT.NET.USER.ZS","YR2014","Source: ITU estimate."
"ABW","IT.NET.USER.ZS","YR2015","Source: ITU estimate."
"ABW","IT.NET.USER.ZS","YR2016","Source: ITU estimate."
"ABW","IT.NET.USER.ZS","YR2017","Source: ITU estimate."
"ABW","SE.ADT.LITR.ZS","YR2018","UIS Estimation"
"AFG","IT.NET.USER.ZS","YR1990","Source: Ministry of Communications."
"AFG","IT.NET.USER.ZS","YR2001","Source and notes: ITU estimate.,"
"AFG","IT.NET.USER.ZS","YR2002","Source and notes: Ministry of Communications.,"
"AFG","IT.NET.USER.ZS","YR2003","Source and notes: Ministry of Communications.,"
"AFG","IT.NET.USER.ZS","YR2004","Source and notes: Ministry of Communications.,"
"AFG","IT.NET.USER.ZS","YR2005","Source and notes: Ministry of Communications.,"
"AFG","IT.NET.USER.ZS","YR2006","Source and notes: Ministry of Communications.,"
"AFG","IT.NET.USER.ZS","YR2007","Source and notes: ITU estimate.,"
"AFG","IT.NET.USER.ZS","YR2008","Source and notes: Ministry of Communications & Information Technology,"
"AFG","IT.NET.USER.ZS","YR2009","Source and notes: Ministry of Communications & Information Technology,"
"AFG","IT.NET.USER.ZS","YR2010","Source and notes: ITU estimate.,"
"AFG","IT.NET.USER.ZS","YR2011","Source and notes: ITU estimate.,"
"AFG","IT.NET.USER.ZS","YR2012","Source and notes: ITU estimate.,"
"AFG","IT.NET.USER.ZS","YR2013","Source and notes: ITU estimate.,"
"AFG","IT.NET.USER.ZS","YR2014","Source and notes: ITU estimate.,"
"AFG","IT.NET.USER.ZS","YR2015","Source and notes: ITU estimate.,"
"AFG","IT.NET.USER.ZS","YR2016","Source and notes: ITU estimate.,"
"AFG","IT.NET.USER.ZS","YR2017","Source and notes: ITU estimate., Asia Foundation,"
"AFG","IT.NET.USER.ZS","YR2018","Source and notes: ITU estimate., Asia Foundation,"
"AFG","IT.NET.USER.ZS","YR2019","Source and notes: ITU estimate., Asia Foundation,"
"AFG","IT.NET.USER.ZS","YR2020","Source and notes: ITU estimate.,"
"AFG","IT.NET.USER.ZS","YR2021","Source and notes: ITU estimate.,"
"AFG","IT.NET.USER.ZS","YR2022","Source and notes: ITU estimate.,"
"AFG","IT.NET.USER.ZS","YR2023","Source and notes: ITU estimate.,"
"AFG","SE.ADT.LITR.ZS","YR2015","UIS Estimation"
"AFG","SE.ENR.PRSC.FM.ZS","YR2001","Should be treated as NIL"
"AFG","SE.ENR.PRSC.FM.ZS","YR2003","UIS Estimation"
"AFG","SE.XPD.TOTL.GB.ZS","YR1981","Should be treated as NIL"
"AFG","SE.XPD.TOTL.GB.ZS","YR1982","Should be treated as NIL"
"AFG","SE.XPD.TOTL.GB.ZS","YR1983","Should be treated as NIL"
"AFG","SE.XPD.TOTL.GB.ZS","YR1999","Should be treated as NIL"
"AFG","SE.XPD.TOTL.GB.ZS","YR2000","Should be treated as NIL"
"AFG","SE.XPD.TOTL.GB.ZS","YR2001","Should be treated as NIL"
